cod.	documento	qtd.	ug	data	doc. p/ serv.		
OB	ORDEM BANCARIA	1	158393	17/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	3	158393	18/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	1	154679	17/10/2023			
DF	DARF	2	154679	18/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	4	154679	18/10/2023			
ND	NOTA DE DOTACAO	7	158134	18/10/2023			
NC	NOTA DE CREDITO 	1	158134	18/10/2023			
RO	REGISTRO ORCAMENTARIO	8	158134	18/10/2023			
OB	ORDEM BANCARIA	190	158134	18/10/2023			
DF	DARF	4	158134	18/10/2023			
PF	PROGRAMACAO FINANCEIRA	2	158134	18/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	326	158134	18/10/2023			
ND	NOTA DE DOTACAO	7	158134	17/10/2023			
RO	REGISTRO ORCAMENTARIO	10	158134	17/10/2023			
OB	ORDEM BANCARIA	404	158134	17/10/2023			
DF	DARF	4	158134	17/10/2023			
PF	PROGRAMACAO FINANCEIRA	3	158134	17/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	574	158134	17/10/2023			
ND	NOTA DE DOTACAO	9	158134	16/10/2023			
RO	REGISTRO ORCAMENTARIO	6	158134	16/10/2023			
OB	ORDEM BANCARIA	69	158134	16/10/2023			
DF	DARF	18	158134	16/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	161	158134	16/10/2023			
ND	NOTA DE DOTACAO	7	158134	18/10/2023			
NC	NOTA DE CREDITO 	1	158134	18/10/2023			
RO	REGISTRO ORCAMENTARIO	8	158134	18/10/2023			
OB	ORDEM BANCARIA	190	158134	18/10/2023			
DF	DARF	4	158134	18/10/2023			
PF	PROGRAMACAO FINANCEIRA	2	158134	18/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	326	158134	18/10/2023			
ND		2	158392	01/08/2023			
NC		3	158392	01/08/2023			
ND		3	158392	01/08/2023			
OB		382	158392	01/08/2023			
DF		1	158392	01/08/2023			
PF		8	158392	01/08/2023			
NS		339	158392	01/08/2023			
RO		2	158392	02/08/2023			
OB		24	158392	02/08/2023			
DF		2	158392	02/08/2023			
PF		6	158392	02/08/2023			
NS		270	158392	02/08/2023			
DR		1	158392	02/08/2023			
RO		2	158392	03/08/2023			
OB		77	158392	03/08/2023			
DF		3	158392	03/08/2023			
PF		5	158392	03/08/2023			
NS		191	158392	03/08/2023			
DR		1	158392	03/08/2023			
ND		4	158392	04/08/2023			
NC		2	158392	04/08/2023			
RO		3	158392	04/08/2023			
OB		14	158392	04/08/2023			
DF		3	158392	04/08/2023			
PF		1	158392	04/08/2023			
NS		303	158392	04/08/2023			
NS		3	158392	24/08/2023			
OB		5	158392	07/08/2023			
NS		2	158392	08/08/2023			
OB		1	158392	09/08/2023			
NS		5	158392	09/08/2023			
OB		1	158392	10/08/2023			
NS		3	158392	10/08/2023			
NS		6	158392	11/08/2023			
OB		1	158392	14/08/2023			
NS		3	158392	14/08/2023			
OB		1	158392	15/08/2023			
DF		2	158392	15/08/2023			
NS		2	158392	15/08/2023			
OB		1	158392	16/08/2023			
DF		1	158392	16/08/2023			
NS		1	158392	16/08/2023			
OB		1	158392	17/08/2023			
DF		7	158392	18/08/2023			
NS		2	158392	18/08/2023			
OB		7	158392	18/08/2023			
OB		1	158392	25/08/2023			
PF		1	158392	25/08/2023			
NS		2	158392	25/08/2023			
NS		4	158392	28/08/2023			
NS		2	158392	29/08/2023			
NS		1	158392	30/08/2023			
NS		4	158392	31/08/2023			
OB		1	158392	01/09/2023			
NS		4	158392	01/09/2023			
OB		3	158392	02/09/2023			
OB		3	158392	04/09/2023			
OB		1	158392	05/09/2023			
DF		1	158392	05/09/2023			
NS		2	158392	05/09/2023			
ND		2	158392	11/09/2023			
RO		3	158392	11/09/2023			
NS		4	158392	11/09/2023			
ND		3	158392	12/09/2023			
NC		2	158392	12/09/2023			
RO		5	158392	12/09/2023			
OB		1	158392	12/09/2023			
DF		1	158392	12/09/2023			
NS		1	158392	12/09/2023			
NS		5	158392	13/09/2023			
OB		3	158392	14/09/2023			
DF		4	158392	14/09/2023			
NS		6	158392	14/09/2023			
OB		1	158392	15/09/2023			
NS		3	158392	15/09/2023			
NS		1	158392	18/09/2023			
NS		3	158392	20/09/2023			
OB		1	158392	21/09/2023			
DF		2	158392	21/09/2023			
NS		4	158392	21/09/2023			
NS		2	158392	22/09/2023			
