documento,numero,servidor,data,,
N O T A D E D O T A C A O,2025NS023418,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023417,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023416,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023415,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023414,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023413,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023412,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023411,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023410,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023409,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023408,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023407,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023406,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023405,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023404,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023403,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023402,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023401,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023400,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023399,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023398,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023397,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023396,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023395,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023394,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023393,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023392,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023391,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023390,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023389,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023388,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023387,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023386,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023385,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023384,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023383,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023382,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023381,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023380,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023379,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023378,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023377,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023376,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023375,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023374,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023373,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023372,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023371,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023370,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023369,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023368,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023367,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023366,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023365,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023364,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023363,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023362,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023361,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023360,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023359,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023358,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023357,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023356,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023355,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023354,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023353,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023352,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023351,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023350,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023349,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023348,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023347,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023346,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023345,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023344,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023343,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023342,Victor,26/09/2023,,
